stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,wheelchair_boarding,platform_code,parent_station,level_id,zone_id
9978,9978,5th Ave S & Spruce St W,Nearside S,44.869179,-93.039991,https://www.metrotransit.org/nextrip/9978,0,1,,,,
9980,9980,5th Ave S & Poplar St W,Nearside S,44.867403,-93.040009,https://www.metrotransit.org/nextrip/9980,0,1,,,,
9994,9994,5th Ave S (Carmen Ave E) & South St W,Nearside S,44.865608,-93.040024,https://www.metrotransit.org/nextrip/9994,0,1,,,,
9996,9996,Carmen Ave & Claude Way E,Across From S,44.862079,-93.040058,https://www.metrotransit.org/nextrip/9996,0,1,,,,
9998,9998,Carmen Ave & #6115,Nearside S,44.860153,-93.041266,https://www.metrotransit.org/nextrip/9998,0,1,,,,
10000,10000,Carmen Ave & Claude Way E,Across From S,44.857552,-93.041042,https://www.metrotransit.org/nextrip/10000,0,1,,,,
10001,10001,Carmen Ave & 65th St E,Farside S,44.854853,-93.042481,https://www.metrotransit.org/nextrip/10001,0,1,,,,
10002,10002,Carmen Ave & Village Square Center,Nearside S,44.853643,-93.042214,https://www.metrotransit.org/nextrip/10002,0,1,,,,
10003,10003,Carmen Ave & Hilltop Elementary School,Midblock E,44.853413,-93.041068,https://www.metrotransit.org/nextrip/10003,0,2,,,,
10004,10004,67th St E & Catherine Ave,Across From E,44.851730,-93.036844,https://www.metrotransit.org/nextrip/10004,0,1,,,,
10005,10005,67th St E & Clayton Ave,Nearside E,44.851727,-93.034897,https://www.metrotransit.org/nextrip/10005,0,1,,,,
10006,10006,Clayton Ave & 68th St E,Nearside S,44.851307,-93.034781,https://www.metrotransit.org/nextrip/10006,0,2,,,,
10007,10007,Clayton Ave & 69th St E,Nearside S,44.849920,-93.034755,https://www.metrotransit.org/nextrip/10007,0,2,,,,
10008,10008,Clayton Ave & 70th St E,Nearside S,44.848224,-93.034724,https://www.metrotransit.org/nextrip/10008,0,1,,,,
10013,10013,70th St E & Cloman Ave E,Across From E,44.847978,-93.032240,https://www.metrotransit.org/nextrip/10013,0,1,,,,
10014,10014,70th St E & Cooper Ave E,Nearside E,44.847968,-93.028762,https://www.metrotransit.org/nextrip/10014,0,2,,,,
10017,10017,70th St E & Dawn Ave,Nearside E,44.847961,-93.024667,https://www.metrotransit.org/nextrip/10017,0,2,,,,
10024,10024,75th St E & Craig Ave E,Nearside W,44.840837,-93.027105,https://www.metrotransit.org/nextrip/10024,0,2,,,,
10026,10026,75th St E & Cloman Way,Nearside W,44.840835,-93.032256,https://www.metrotransit.org/nextrip/10026,0,2,,,,
10028,10028,75th St E & Clayton Ave,Nearside W,44.840826,-93.034469,https://www.metrotransit.org/nextrip/10028,0,2,,,,
10029,10029,Clayton Ave & 76th St E,Nearside S,44.839961,-93.034676,https://www.metrotransit.org/nextrip/10029,0,2,,,,
10030,10030,Clayton Ave & 77th St E,Across From S,44.838047,-93.034649,https://www.metrotransit.org/nextrip/10030,0,1,,,,
